"Time"	"Group"	"Group.num"	"id"
"636"	"Mobile"	"2"	1
"623"	"Mobile"	"2"	2
"615"	"Mobile"	"2"	3
"672"	"Mobile"	"2"	4
"601"	"Mobile"	"2"	5
"600"	"Mobile"	"2"	6
"542"	"Mobile"	"2"	7
"554"	"Mobile"	"2"	8
"543"	"Mobile"	"2"	9
"520"	"Mobile"	"2"	10
"609"	"Mobile"	"2"	11
"559"	"Mobile"	"2"	12
"595"	"Mobile"	"2"	13
"565"	"Mobile"	"2"	14
"573"	"Mobile"	"2"	15
"554"	"Mobile"	"2"	16
"626"	"Mobile"	"2"	17
"501"	"Mobile"	"2"	18
"574"	"Mobile"	"2"	19
"468"	"Mobile"	"2"	20
"578"	"Mobile"	"2"	21
"560"	"Mobile"	"2"	22
"525"	"Mobile"	"2"	23
"647"	"Mobile"	"2"	24
"456"	"Mobile"	"2"	25
"688"	"Mobile"	"2"	26
"679"	"Mobile"	"2"	27
"960"	"Mobile"	"2"	28
"558"	"Mobile"	"2"	29
"482"	"Mobile"	"2"	30
"527"	"Mobile"	"2"	31
"536"	"Mobile"	"2"	32
"557"	"Control"	"1"	33
"572"	"Control"	"1"	34
"457"	"Control"	"1"	35
"489"	"Control"	"1"	36
"532"	"Control"	"1"	37
"506"	"Control"	"1"	38
"648"	"Control"	"1"	39
"485"	"Control"	"1"	40
"610"	"Control"	"1"	41
"444"	"Control"	"1"	42
"626"	"Control"	"1"	43
"626"	"Control"	"1"	44
"426"	"Control"	"1"	45
"585"	"Control"	"1"	46
"487"	"Control"	"1"	47
"436"	"Control"	"1"	48
"642"	"Control"	"1"	49
"476"	"Control"	"1"	50
"586"	"Control"	"1"	51
"565"	"Control"	"1"	52
"617"	"Control"	"1"	53
"528"	"Control"	"1"	54
"578"	"Control"	"1"	55
"472"	"Control"	"1"	56
"485"	"Control"	"1"	57
"539"	"Control"	"1"	58
"523"	"Control"	"1"	59
"479"	"Control"	"1"	60
"535"	"Control"	"1"	61
"603"	"Control"	"1"	62
"512"	"Control"	"1"	63
"449"	"Control"	"1"	64
